Create Date,20241009_121732
Start Freq,1220000000.0
Stop Freq,1520000000.0
# Points,101
# Samples,50
Interval,0.2
Time,1728472652.9897058
0.0,-67.2388579,-76.3450909,-70.7088462,-68.9701176,-70.4333037,-63.8476381,-69.0070125,-67.9489154,-73.4410598,-77.6313267,-62.2903538,-64.9434273,-74.6004549,-60.1116109,-67.5636181,-63.8777966,-78.791685,-66.9567285,-71.6665549,-76.8672771,-67.5953173,-70.8606017,-70.2283035,-82.3338469,-69.2161961,-70.463716,-66.1116363,-69.2301883,-72.1265443,-68.6965506,-68.7363221,-75.7831865,-71.1114139,-66.3376706,-72.4510308,-68.9921902,-70.6831982,-66.5709597,-74.9512428,-64.7604381,-72.9283946,-65.0349551,-64.3782341,-68.5200904,-76.3714575,-66.6984546,-71.8593743,-73.8015843,-75.9188385,-65.2381015,-64.0409188,-67.594488,-64.7122307,-64.8213021,-68.3416372,-71.3090846,-64.8417949,-70.3940877,-64.1499272,-67.996387,-63.5413709,-67.3804515,-72.8011021,-72.1012807,-72.2716901,-64.1121769,-66.5478669,-65.1183937,-62.9688569,-66.4150297,-65.196691,-66.3996287,-69.0936266,-68.4086284,-68.1623388,-68.6853356,-70.2014449,-73.9914675,-71.854659,-75.7287981,-71.040744,-67.8870576,-69.3257333,-66.6354384,-66.7962101,-63.1617637,-67.5775856,-61.0708684,-68.4283932,-75.0187694,-71.2063809,-69.0955081,-72.653022,-82.2032622,-67.5410654,-71.639821,-64.107957,-62.9858633,-62.6598497,-66.0754601,-76.1655321,-73.5749013,-77.054608,-72.8359873,-70.0710444,-69.607701,-66.7733588,-67.4416054,-70.7292571,-62.7918808,-68.3771104,-69.0684018,-66.2829157,-64.1675119,-63.3621374,-73.9773495,-73.1694056,-67.0896662,-69.5511782,-77.18502,-66.7133197,-68.3864095,-63.397217,-66.0458336,-68.1354862,-66.6864734,-68.1834458,-70.7092385,-70.8769296,-76.5797061,-74.058898,-66.7602793,-66.0529664,-66.857,-69.5839202,-63.2617839,-63.6683635,-71.0256792,-68.4838156,-69.4433959,-71.7001718,-63.8304683,-68.4332598,-65.0061766,-64.9505565,-66.2904052,-69.1184966,-78.9539047,-66.7478965,-76.2776202,-67.4689597,-69.4652562,-67.3705027,-75.6534768,-70.6866559,-72.1258103,-71.5502393,-71.6345049,-83.5117533,-67.2286419,-73.398639,-72.2378934,-72.0839643,-71.1662629,-75.377271,-69.6479772,-69.9000117,-65.6010371,-63.0815046,-63.7118773,-70.1912664,-67.4629716,-68.4628332,-67.8419882,-72.9784373,-71.5532185,-69.5866151,-67.2170403,-67.4055875,-64.485805,-75.6122738,-71.2891545,-63.6693206,-66.0285167,-68.0167853,-75.1468977,-74.5055602,-70.7809577,-68.3009595,-74.591736,-69.577722,-65.135401,-66.0598209,-66.3130453,-70.2577152,-69.997255,-68.750958,-69.830218,-68.8763606,-71.5844962,-69.9248764
