Create Date,20241009_121830
Start Freq,1220000000.0
Stop Freq,1520000000.0
# Points,101
# Samples,50
Interval,0.2
Time,1728472710.5482328
0.0,-71.9184514,-75.8991787,-66.3143812,-70.5319219,-84.5426485,-77.0752013,-81.4174919,-69.2799205,-77.3992009,-67.0564023,-74.7199332,-78.7369447,-68.5466771,-71.6510801,-65.1116502,-68.2288079,-70.7707664,-64.1657936,-67.0529476,-64.2958278,-70.0534326,-63.2083332,-68.5374719,-66.1097722,-76.8946993,-64.5287396,-83.7749536,-76.6916042,-66.0085111,-72.5284167,-74.4376645,-65.166619,-67.1112315,-74.5298333,-66.3061085,-70.1747847,-65.4659098,-76.0030145,-76.2296572,-69.9696584,-71.8286009,-78.3640844,-73.7840213,-71.2030606,-70.0791475,-60.6159698,-68.853394,-70.9732736,-68.9263698,-72.9336872,-73.389239,-67.8303875,-66.0672768,-65.1171396,-59.9293506,-66.9495045,-74.9069182,-71.6340031,-68.0143207,-66.940415,-67.0582157,-71.3098196,-60.2167406,-79.0301685,-73.6374715,-68.3197231,-61.2800924,-68.8492302,-75.9150359,-71.9251489,-68.4919417,-80.1771217,-72.0964876,-67.7768084,-80.8129564,-65.7150649,-71.148144,-74.6235257,-68.4830594,-64.3695326,-66.3262852,-76.6852181,-67.9759835,-68.0613118,-72.240931,-69.0257399,-74.7788464,-64.2498332,-68.1072944,-83.0756286,-68.7650981,-66.8354728,-67.7210624,-62.4692237,-65.3763957,-72.4446847,-66.8724316,-65.6058461,-69.0145348,-65.7200795,-71.3327454,-69.3759911,-66.527676,-70.2855125,-67.8775494,-64.4870591,-68.1066318,-76.6376806,-73.3220919,-83.8794692,-66.3758932,-71.2733114,-69.140318,-69.7194793,-72.76701,-77.0128032,-68.7262837,-70.0088312,-68.5755481,-64.4101125,-69.2525772,-70.9055576,-72.6093346,-79.0927001,-72.169031,-68.1415144,-65.8069368,-71.6783685,-66.5409967,-69.6206234,-73.4374237,-68.9084275,-68.6649783,-71.251533,-67.3255028,-66.123129,-74.8743311,-66.4582204,-66.3001039,-71.6270609,-68.7264919,-71.6852118,-67.3287975,-68.3021938,-71.9982179,-68.1538196,-70.244119,-70.7118018,-65.3353268,-68.300692,-73.8435639,-63.3574741,-69.5354239,-66.8379791,-78.5237409,-75.044768,-67.9485677,-62.3220134,-65.4888587,-71.6622761,-67.2105047,-69.7110983,-70.0057077,-67.8212508,-69.7904401,-68.8036366,-71.1914372,-69.943021,-69.6198589,-65.4731202,-68.5758696,-73.2021949,-65.8590877,-72.888709,-72.2174294,-67.954777,-74.1522712,-68.9183092,-69.2441368,-74.3142872,-69.1845716,-72.4195312,-72.3451609,-66.6079229,-71.0793412,-71.7359558,-73.1114767,-76.504302,-67.7715686,-67.2642384,-65.375848,-69.1797303,-64.0075683,-72.7459507,-70.7022173,-74.6355386,-70.9217604,-65.4031627,-65.1067731,-72.4195444,-70.1157732,-71.2404299,-70.8369943,-70.4853002,-67.0345988,-62.7913072,-70.3300061,-73.0515589,-64.6916944,-68.9513435,-71.1219299,-65.7378168,-72.8930862,-73.9905394,-68.6405239,-80.0505151,-77.6845733,-74.4568188,-65.6535057,-74.8238285,-65.3539878,-74.10924,-67.9692719,-75.9144121,-65.0226095,-78.1388311,-72.5169354,-74.4924806,-66.4023421,-66.0819541,-71.3858086,-73.5018041,-66.8170693,-68.7412956,-62.8115216,-65.7357368,-73.8681306,-77.506063,-75.3583028,-68.0790491,-66.7218222,-69.7566973,-76.3581441,-64.6928446,-69.0057745,-65.3817993,-74.3335035,-66.9268214,-64.9096584,-66.2458808,-76.5482164,-72.1680432,-68.0662953,-70.3593129,-61.9933981,-64.4620769,-68.5748115,-72.4085778,-66.4243121,-72.511908,-68.4452085,-69.9071276,-64.878941,-67.1340238,-71.0858409,-67.6602024,-72.6154688,-70.0666182,-64.9331476,-73.4397127,-74.5295484,-71.0792163,-66.8796924,-68.9117872,-71.0338538,-65.2555105,-78.9175056,-71.536168,-68.8625299,-69.191478,-72.7865267,-69.2556061,-62.1617122,-73.657355,-71.3291178,-67.2188567,-63.477175,-75.3532907,-64.3838123,-69.1698021,-81.5222524,-75.9963904,-67.0194652,-76.9233601,-71.5887434,-66.9082458,-69.2666599,-68.0706268,-76.142242,-75.2800993,-68.2405543,-67.3936352,-79.681563,-70.5163668,-69.8848616,-66.277968,-69.4386027,-62.733427,-68.855205,-70.1163611,-68.8904515,-84.6002852,-76.8968037,-69.1982331,-66.7495779,-69.3208171,-65.6719894,-66.7946942,-68.0968677,-77.9233684,-75.835415,-66.1459953,-71.1476178,-70.823415,-69.66274,-64.4809306,-69.2162028,-69.0091377,-71.0700858,-64.6493533,-74.6467721,-72.6067281,-73.036825,-71.1717883,-68.0790734,-76.2813256,-73.7193598,-74.7523157,-67.6185322,-67.3405392,-66.4684465,-65.0014487,-68.9371481,-71.2977993,-67.6194618,-84.5403186,-67.4335285,-70.2739208,-72.5781739,-71.8447708,-67.487405,-71.5184558,-68.8834382,-63.3913228,-71.8481441,-67.5387352,-63.5365683,-75.3559978,-75.2297548,-72.7685293,-69.0267401,-65.5533351,-68.5141359,-64.6664387,-82.2289763,-85.2790668,-66.8721103,-72.3003456,-67.5006233,-68.2416098,-72.7767543,-69.5610383,-60.663869,-67.2198636,-63.1484656,-70.3159817,-72.9432864,-67.3222458,-72.8594778,-63.7035724,-69.4235134,-75.8938088,-72.4563002,-65.8611379,-67.6877478,-62.5880765,-79.6230598,-69.6076316,-73.8932694,-67.3521501,-72.1889863,-70.1716935,-74.5257404,-68.3774659,-67.0185607,-75.0509343,-69.8376391,-71.8739202,-73.5355762,-76.8103902,-73.0974794
