Create Date,20241009_120515
Start Freq,120000000.0
Stop Freq,150000000.0
# Points,15
# Samples,50
Interval,0.2
Time,1728471915.3662384
0.0,-3.2839934,-66.0254129,-64.5674587,-69.1691147,-64.2153414,-63.5645266,-64.1461787,-64.6168834,-65.7327995,-64.9388354,-61.3895991,-64.6344372,-62.171078,-63.5867839,-62.0962351,-62.6281473,-64.8759105,-61.4501361,-62.2174704,-61.3182134,-64.4024992,-64.5697602,-62.6896486,-60.7408446,-62.9752086,-63.3533918,-61.8051961,-60.7205763,-63.2404136,-64.4862182,-61.8085229,-64.1377374,-63.228271,-62.134065,-63.1147495,-64.3475218,-64.6786539,-62.4128832,-61.6751259,-61.3023079,-63.7752206,-61.8924411,-61.3888965,-58.5733096,-60.93737,-62.5027332,-62.4590058,-62.6398939,-64.7723945,-66.2626892,-68.4820035,-60.5975818,-65.5054765,-63.5632136,-63.3760195,-66.765543,-65.9953776,-67.0120606,-62.9559889,-64.0219499,-63.3197979,-62.68619,-63.4965251,-65.3248967,-65.2621337,-64.0734794,-61.6546239,-65.4959215,-65.3427073,-64.2877955,-66.955208,-63.8241433,-63.2473598,-64.2579401,-67.6785219,-63.8845836,-68.3067428,-66.3727164,-64.2020444,-64.5608364,-64.0265046,-66.0664025,-67.1434451,-61.0526053,-64.2873002,-61.1474763,-62.5444269,-68.2746242,-63.9531458,-64.6995236,-63.2580963,-62.5500602,-65.5515734,-65.8264439,-63.6810911,-62.6160192,-62.6154441,-61.8660148,-63.4763063,-64.5760672,-62.6716944,-67.0305114,-65.0066147,-66.3409672,-64.9082321,-61.6805747,-62.8687196,-64.8410006,-62.0519605,-64.3729223,-61.0161929,-64.4121169,-66.7140769,-62.6344681,-63.3447541,-64.5112178,-63.9024763,-65.5765381,-60.7626075,-63.6737642,-63.3221555,-63.1505876,-61.7848918,-61.9163819,-63.0832518,-65.0697935,-61.0174479,-62.7011404,-62.5665847,-62.0175568,-59.8667203,-64.9704582,-63.2915552,-62.5263815,-62.071747,-62.0615308,-63.0973951,-62.4205741,-64.161906,-62.5366672,-61.2187987,-59.5236881,-62.1064473,-62.2776816,-64.0940308,-60.9293374,-61.4551036,-61.9101257,-62.6869673,-61.9663377,-60.3188507,-63.1114396,-61.9158729,-60.712773,-62.3925414,-61.5866095,-59.9806857,-61.5619907,-62.3218543,-59.00671,-60.9614907,-62.7550497,-61.0184452,-61.5017673,-61.020657,-61.1383818,-59.5450239,-61.8328773,-59.6846984,-59.5844592,-60.5296606,-60.9779294,-57.8820839,-58.7328496,-59.2546845,-61.0507057,-59.3047071,-57.6269864,-64.1713716,-62.4128821,-63.3005711,-64.52009,-67.4364047,-65.1037592,-66.456107,-66.4943044,-67.1537571,-64.3433546,-66.5351104,-64.2474819,-63.7946076,-64.9455481,-65.9016543,-60.5320495,-65.6816063,-63.5360661,-65.8488529,-68.0256716,-63.7308054,-65.7878276,-65.9563863,-60.9490047,-65.3449953,-65.2433923,-64.0720535,-63.8325818,-63.9512951,-63.2452233,-64.2333047,-61.9189802,-64.4814339,-63.361609,-63.1052851,-65.0015822,-62.829448,-60.7988401,-61.4374701,-62.6263934,-59.3881445,-61.8873232,-62.7901587,-60.4021817,-60.7713638,-64.6974623,-64.0586928,-61.692762,-61.388865,-63.8126755,-63.7394766,-62.7402494,-63.7472658,-63.3754233,-65.8239134,-62.1288809,-61.7436735,-62.9871467,-62.9573957,-63.6288013,-62.4530295,-61.4715927,-63.8102519,-62.7971696,-61.0771557,-63.1683522,-62.3562756,-60.957026,-65.1192093,-61.8513055,-63.1596288,-61.470488,-63.6069811,-63.3416094,-61.015536,-62.8946685,-61.7238337,-65.4872738,-61.9516706,-63.8291039,-62.5288751,-63.8787849,-64.8453483,-64.8318089,-62.3969295,-63.8098801,-60.6694203,-60.5098189,-62.030414,-60.4666355,-60.7474136,-61.5579625,-62.0722213,-59.2473278,-58.1366764,-59.7447946,-62.5305717,-61.5067483,-61.0814395,-60.4037629,-59.564557,-60.9400172,-57.7461772,-59.147353,-58.7141228,-54.8395777,-59.5684662,-59.3276334,-57.5835413,-57.3250656,-60.5735283,-58.271363,-59.7208169,-60.7771345,-59.9387573,-60.4578208,-60.9253482,-59.115585,-60.506102,-58.6564941,-62.4581779,-60.7387574,-61.471882,-63.7342097,-65.2783055,-64.787588,-61.38838,-63.2548481,-62.8270667,-63.2177074,-57.9842099,-64.5868931,-59.7667205,-60.4764832,-62.0223641,-65.3590734,-63.018945,-60.6253704,-62.5014233,-61.3559687,-62.4771176,-60.469749,-58.8478449,-61.9654783,-60.9662034,-62.508157,-60.2000149,-56.2473285,-58.298982,-58.7155726,-59.670444,-59.2263158,-57.9635207,-61.97945,-58.6548587,-58.417565,-55.4290971,-59.3938541,-57.2245633,-57.6523384,-57.6869818,-60.3006263,-63.0045324,-59.4560735,-61.1936818,-58.2900181,-58.7000483,-57.3555663,-56.3751476,-56.7713613,-56.0680216,-54.9705967,-57.8395707,-54.8676824,-52.982929,-54.5844731,-53.9143655,-54.8944796,-53.8049135,-56.6232232,-57.6819052,-55.7777537,-56.6688031,-56.2645933,-56.0066043,-56.8165302,-58.3034548,-54.6694099,-55.0364479,-56.9550815,-56.5579631,-57.129125,-57.4387743,-55.4260158,-53.5652973,-53.9753817,-56.0857506,-54.2338425,-51.3645143,-53.1112409,-54.8935352,-54.7587087,-55.4595208,-53.466788,-52.9376778,-53.942216,-53.7595685,-53.909397,-51.9859301,-51.1765752,-53.0152512,-53.841264,-51.6849065,-53.3561947,-52.4791029,-54.442281,-50.1877811,-53.4084147,-52.3705713,-53.5609504,-53.3599367,-50.8262747,-53.5815991
