Create Date,20241009_121801
Start Freq,1220000000.0
Stop Freq,1520000000.0
# Points,401
# Samples,50
Interval,0.2
Time,1728472681.5128043
0.0,-68.9956907,-67.4331797,-70.6963319,-66.1174479,-70.59229,-67.1734907,-68.5187236,-72.9074432,-71.5060667,-68.3144185,-66.7557274,-70.1666329,-72.0151297,-69.2523171,-70.255301,-66.3476426,-67.5108577,-67.1918382,-69.2508317,-63.6827609,-66.5641107,-66.6300527,-69.4552639,-65.7797464,-68.1055528,-67.5760343,-66.0622892,-67.3617347,-63.6859953,-68.3848135,-65.6349822,-63.8346051,-73.1883427,-67.8343966,-67.4032414,-67.6640318,-67.8463604,-69.80023,-68.5982839,-65.3870819,-66.3667706,-72.4511376,-72.3093002,-66.3715087,-67.075311,-65.2323868,-70.1370128,-68.4114139,-66.3310285,-63.9319719,-63.8297863,-67.4660679,-63.1742464,-68.8571754,-65.2448184,-61.7755866,-62.8997861,-66.1761912,-65.3932769,-66.3292407,-68.0461925,-67.5294813,-61.3812492,-66.0718049,-63.7510016,-70.7087254,-68.7252821,-67.252348,-68.3817844,-62.8593103,-70.7162362,-62.636262,-68.7449399,-65.1896289,-72.135822,-62.193939,-65.4419876,-69.9446503,-67.7095298,-71.80883,-66.4700912,-70.2675525,-69.9798013,-67.0267373,-65.7281232,-64.158432,-63.3793798,-68.9481878,-67.981491,-68.9706542,-68.253821,-66.1785044,-69.5429512,-67.6186923,-64.4767459,-67.488907,-67.7809861,-72.2537927,-65.5711238,-66.4015307,-64.5697999
