Create Date,20241009_120822
Start Freq,1200000000.0
Stop Freq,1500000000.0
# Points,401
# Samples,50
Interval,0.2
Time,1728472102.849122
0.0,-77.3306656,-75.2119064,-75.0001678,-70.4148026,-74.1496964,-74.0190582,-75.6657181,-73.4466705,-75.6857376,-73.5906525,-75.3288574,-72.3471909,-73.4866486,-76.277092,-71.5909958,-69.8688812,-76.3648529,-73.7801437,-74.5780411,-77.2290573,-72.4293671
