Create Date,20241009_121059
Start Freq,1220000000.0
Stop Freq,1520000000.0
# Points,21
# Samples,50
Interval,0.2
Time,1728472259.9316103
0.0,-69.1687326,-64.4110961,-67.4689331,-68.7577879,-65.2767726,-67.1725489,-70.8586644,-71.7316001,-68.5871326,-64.0855587,-71.5132832,-70.3725622,-70.5981581,-65.9702842,-66.172067,-65.4330045,-70.095685,-66.5039477,-76.9067406,-72.3271319,-69.3257672,-78.5500884,-66.9073716,-69.3287212,-72.6580638,-64.0657232,-77.06876,-66.2981725,-66.1921692,-67.0086027,-67.487347,-69.5753839,-62.242193,-70.0236116,-76.2724812,-77.9461374,-60.7985343,-71.3580846,-83.4550261,-61.216467,-69.2714868,-67.1471281,-69.5284754,-72.534544,-76.02316,-68.809209,-70.1679506,-63.2255895,-67.5852242,-62.4660689,-72.9684202,-65.8306628,-63.1957989,-69.4540909,-71.1124701,-74.567824,-69.7155638,-80.0963699,-69.3178684,-68.2525268,-74.0277534,-71.4727752,-73.8500595,-72.1124571,-78.7837098,-67.7345051,-74.6200521,-75.0578944,-68.7604479,-76.1386043,-70.1535549,-70.2667312,-73.6359311,-64.5536611,-75.7200903,-70.0710529,-65.0603507,-67.2507938,-82.1093782,-70.8156863,-66.3151721,-69.3034737,-65.0183083,-65.4142374,-79.4167804,-69.827013,-71.1062591,-78.0321461,-68.5105136,-78.4841291,-78.2239716,-68.1955546,-65.0639493,-68.3883064,-64.780044,-70.6801853,-71.9156893,-80.4045663,-66.9029649,-68.8017534,-67.2338515,-70.1121625,-73.6255471,-66.1588034,-66.7501261,-94.0341023,-73.2954708,-78.2856745,-66.7631825,-67.2230512,-63.61988,-75.2316963,-67.6476595,-76.4362398,-69.6331764,-65.9014634,-78.9174552,-70.8702962,-66.7284745,-63.1882976,-74.823689,-68.7214888,-76.4157018,-66.2931706,-72.8664238,-70.5306146,-72.3292898,-77.3878926,-78.7944709,-71.4116826,-77.4906721,-68.8464757,-75.9043451,-64.1445809,-67.4838673,-79.9665429,-64.5145437,-67.3182657,-67.4575479,-73.5055934,-71.1380458,-65.642418,-76.8172668,-67.693278,-67.1605961,-71.6580506,-70.6200253,-74.0508072,-69.7782238,-73.0768009,-68.7103462,-67.712458,-70.1719007,-72.9912609,-71.8875817,-68.835723,-75.3567776,-69.8096585,-68.5776181,-75.9794107,-62.5631313,-70.2312987,-74.1854925,-77.8145555,-73.7603119,-69.3864915,-68.3464937,-64.3944334,-77.3883715,-70.8581421,-67.3042329,-66.881468,-66.6237086,-84.3331385,-67.7453757,-67.1301785,-69.4237245,-65.2019179,-67.2596395,-74.7676521,-66.0898196,-74.0737459,-70.6386017,-70.1972584,-70.1607465,-76.2677227,-69.2671505,-71.7097344,-83.4287715,-73.7612416,-72.1266817,-72.8697752,-66.1315528,-71.0607276,-69.9725594,-69.7404426,-65.719199,-78.1886931,-74.0952936,-76.7981505,-74.5959024,-82.6268287,-69.3931586,-69.8717324,-77.5766768,-71.8244662,-82.3662948,-65.6523456,-71.0464121,-66.676647,-75.2469358,-63.1729147,-67.6792913,-74.5946886,-66.4926818,-67.2877672,-67.333112,-71.6149444,-80.9125953,-64.9052623,-73.0497148,-63.809104,-78.8026278,-71.4086511,-76.8867536,-91.3138893,-72.9314668,-66.7916216,-75.6555663,-81.02151,-76.9438079,-70.0557725,-80.3149524,-71.4684077,-71.1995466,-72.9440711,-65.54833,-73.9989437,-64.8945425,-70.0095227,-70.5760441,-66.7842474,-66.9057787,-66.8349277,-68.7974774,-65.1077274,-67.8031053,-65.9505785,-72.5349144,-80.9651007,-72.9777559,-67.2025608,-66.4853347,-74.1097807,-67.2121928,-64.8559518,-68.1568838,-65.0087746,-71.8007087,-70.0250161,-68.7910923,-67.747635,-70.3061159,-76.0787819,-77.3826724,-64.9449884,-69.6737573,-79.9323526,-71.4058114,-71.4243748,-71.6299981,-83.2069218,-67.8382636,-64.7601171,-78.1016398,-65.7693715,-75.3420525,-72.9238023,-78.262122,-71.794897,-66.0494796,-69.4477894,-73.9735195,-77.2516569,-70.156091,-66.8931205,-67.1792499,-71.5489945,-74.2237483,-71.8882028,-66.3215936,-67.9586706,-76.638942,-65.4211011,-62.9109471,-69.4038984,-71.3655634,-69.6493875,-75.6294999,-73.3381278,-83.4077468,-81.2842751,-69.5352427,-64.3769395,-73.2220821,-76.4204663,-65.5081137,-69.3490958,-69.4615063,-71.7625271,-78.3281085,-65.5491992,-67.7165616,-66.0259405,-81.5787945,-67.2723835,-74.8622215,-66.5022426,-78.4288661,-65.2421834,-68.8615424,-72.3800372,-77.5251046,-65.6088928,-70.510008,-74.9554681,-77.4135522,-76.3576087,-77.0401789,-76.5443267,-77.9271124,-69.2722584,-68.5917792,-65.2208497,-65.8983831,-74.0430863,-64.7728149,-74.167868,-63.0966307,-69.9129512,-69.4949421,-72.4538503,-82.5721919,-82.1186031,-64.7335586,-67.8132948,-72.9446987,-69.3015783,-74.1280336,-70.6453405,-62.708492,-64.5740241,-69.5569104,-72.6974644,-70.4515607,-72.785768,-66.8919646,-68.6586026,-80.1348011,-67.4805764,-72.4409595,-70.719458,-64.1592872,-64.8784982,-70.6737918,-93.4838294,-72.2367561,-76.4067004,-68.4792016,-64.7161325,-63.4042446,-64.3979938,-66.2330999,-67.4734217,-75.3811208,-66.1822768,-68.4057549,-81.7862103,-71.9007618,-69.2494817,-75.3316228,-68.1434724,-64.2006509,-77.9995669,-69.0107847,-72.9045291,-71.8313894,-70.5256549,-75.5509254,-70.3156754,-70.8766514,-75.8522224,-68.4730721,-71.558179,-72.6253749,-68.8983461,-72.5913915,-73.0356132,-70.3409626,-68.5430997,-67.3985766
