Create Date,20241009_121702
Start Freq,1220000000.0
Stop Freq,1520000000.0
# Points,201
# Samples,10
Interval,0.2
Time,1728472622.81062
0.0,-64.823098,-64.1690919,-67.6948573,-71.89404,-74.7778929,-70.5687766,-79.1801943,-69.7488433,-65.557936,-73.3432868,-70.8934088,-67.3613718,-66.0601129,-72.8214738,-67.4423837,-69.6629039,-71.0326589,-71.3942832,-66.3180235,-66.0835034,-74.5940183,-73.1390946,-75.3836617,-73.7993483,-69.5101718,-73.5184633,-69.66782,-79.2919086,-66.1596584,-69.71258,-86.1994146,-69.8697033,-77.2356766,-65.7562978,-77.0982118,-65.7206116,-75.3016025,-65.9432676,-70.2508363,-65.4653335,-67.1685373,-74.379236,-67.6227355,-76.3394271,-75.3852523,-67.6425852,-72.6359932,-72.0009991,-69.3641877,-72.1432999,-65.4685407,-63.9995087,-66.6632417,-71.3175258,-67.5022835,-74.7331662,-74.8775978,-78.8861802,-77.5995968,-66.4737228,-73.1870883,-74.4899478,-70.686345,-75.1321323,-71.9851754,-77.6872136,-70.3516355,-66.6334179,-75.0059605,-67.2272404,-74.0533287,-65.5331573,-69.1287943,-67.8354581,-67.631429,-68.4197769,-73.296002,-68.0530212,-74.8201221,-74.1637799,-63.2075556,-70.3304964,-75.5221902,-72.8076951,-84.7718449,-75.7692406,-78.7668101,-66.4400163,-77.7916952,-67.4330927,-70.0318101,-70.0263772,-67.8329132,-69.9716344,-74.1423606,-66.3442228,-74.7290617,-63.9156316,-68.4515629,-71.2603992,-71.5871012,-74.8955513,-72.4912995,-65.6040715,-64.7391101,-66.4208135,-79.5732758,-65.6353357,-69.2791693,-69.5826052,-71.7559817,-68.4493275,-65.6154756,-67.8341908,-65.5314333,-73.3745842,-66.3255534,-66.8288069,-65.13754,-71.8826678,-72.5051211,-69.094087,-73.7282654,-66.1046227,-73.1172713,-63.5273137,-67.0647659,-70.6412874,-72.0335043,-71.9409666,-67.3463689,-72.858282,-67.0003763,-63.64287,-75.0482057,-68.7759532,-73.2004008,-70.8793449,-70.1716292,-66.1977088,-70.1461332,-72.6516405,-64.58877,-64.9107568,-68.7087578,-73.1924573,-66.1068899,-67.726571,-72.0507345,-72.870196,-73.8595224,-78.3421829,-69.1737019,-72.5171384,-72.7708684,-75.7780128,-73.053944,-72.2141305,-73.624364,-66.6892965,-69.2289045,-67.7647914,-71.2594667,-63.4303898,-66.4193706,-71.5717584,-61.9026586,-68.0643659,-66.0506151,-68.5519996,-72.3476084,-66.2581616,-66.4113042,-72.7006276,-69.2873546,-66.210314,-63.1635931,-69.1417582,-72.3453883,-68.1025753,-68.8029051,-69.679724,-62.5721134,-68.7912387,-72.5396459,-69.2726267,-65.2494201,-66.0533481,-65.299124,-68.165939,-74.5838531,-71.7358576,-72.4148935,-70.2436249,-69.7816583,-67.8557735,-71.0248618,-76.4493546,-63.0076779,-68.6044755,-75.018716,-66.865955,-81.0686524,-70.5887344,-66.8624171,-75.1828995,-68.2190742,-67.5681334,-67.8617032,-67.7942732,-68.0488173,-68.4283367,-74.6778584,-64.9357374,-67.9571803,-67.2901106,-65.4428386,-78.4582849,-68.0387035,-73.1628247,-71.3775096,-71.0732544,-68.3617223,-66.5351002,-66.6356722,-64.6724073,-81.3009335,-80.5112485,-69.7992459,-69.5533533,-78.3336308,-71.6899538,-71.9462735,-65.2006427,-65.2137526,-64.6151215,-71.6485662,-74.5065717,-66.780485,-66.6658698,-73.6712615,-71.424678,-73.2517719,-71.2045029,-69.3144545,-77.3511706,-83.4584058,-72.8004838,-73.6423894,-72.9396931,-68.0573964,-77.8398489,-63.6832787,-74.8166147,-74.5189817,-72.0056098,-65.4326068,-80.3198874,-68.4599703,-79.1442508,-68.3128326,-68.8479661,-69.0350824,-74.0919253,-77.6146484,-83.2116668,-73.3974023,-71.5174256,-68.6081023,-69.7902829,-69.1980922,-73.3093277,-73.7936955,-71.8063889,-70.4596126,-68.9344849,-74.6962499,-71.8891284,-69.8195972,-69.7782204,-67.4871369,-67.194321,-64.7732136,-60.9325511,-70.7927108,-63.6866637,-67.3808788,-68.7536106,-73.7630645,-69.081345,-68.2726568,-68.4511614,-66.2804527,-72.1436089,-82.4504661,-67.2243605,-72.0581789,-64.2890376,-75.2347048,-66.6819844,-75.6778841,-69.4703738,-72.4890181,-64.1760111,-74.4798285,-70.5192591,-67.6863704,-69.6301941,-70.603498,-70.3205142,-63.2887633,-67.4255834,-68.1611491,-71.8298918,-65.5474905,-72.4848594,-67.8299538,-63.8022518,-63.4629375,-69.4566367,-73.8510936,-65.8646504,-76.1330132,-68.1197649,-82.9473584,-63.2777267,-65.5449689,-71.9121432,-64.3165358,-72.6311017,-62.9575673,-68.3094278,-74.2210219,-65.8902762,-72.34085,-69.5826688,-85.7973686,-68.147033,-67.2266955,-68.4876741,-75.7160111,-77.9606179,-82.204411,-67.595896,-71.7863207,-68.9046107,-73.5672686,-70.0685677,-74.4279557,-67.0556028,-68.5993776,-83.4146973,-66.5403674,-68.4072224,-66.6540429,-66.9390031,-75.6235322,-75.1007954,-67.8264439,-65.2573327,-71.4138636,-69.5805135,-75.3252255,-69.8735037,-68.8415028,-73.537857,-67.5755071,-68.2208642,-67.2128511,-67.0991405,-82.3647183,-69.2513428,-71.1682232,-71.9877234,-66.4050218,-74.5283868,-71.648858,-72.6454652,-72.3676381,-65.6865994,-70.8395804,-71.1490014,-77.8102833,-69.2134771,-66.4330619,-65.844856,-66.760676,-71.6321413,-67.9677105,-75.7045501,-71.2824173,-65.2368945,-68.4430227,-79.6711279,-64.799387,-68.8230863,-70.1674526,-76.6536892,-70.9282197,-71.6947237,-70.8677074
