Create Date,20241008_220030
Start Freq,10000000.0
Stop Freq,1000000000.0
# Points,25
# Samples,25
Interval,0.2
Time,1728421230.788891
0.0,-60.7223172,-60.2565266,-63.6775362,-60.4390815,-59.1089194,-60.3916072,-59.6546194,-62.0082829,-61.6815795,-61.0385033,-58.4952885,-56.7636816,-62.2581766,-60.2741917,-58.618834,-58.978254,-58.8490881,-57.0331466,-61.8113057,-57.7384078,-62.1544289,-59.1029265,-60.7983455,-59.6640481,-57.5413971,-55.3148524,-59.0159666,-60.1972721,-60.8166578,-59.5863613,-57.5560078,-59.7067489,-56.7094961,-60.0464062,-60.0875802,-60.7816244,-57.7057676,-58.3900722,-58.678836,-59.0254742,-59.0541089,-64.1049807,-62.1254815,-61.1712828,-62.2221498,-61.7530631,-62.9647562,-60.7143526,-60.9568633,-60.0940325,-60.4760237,-63.3540442,-61.6139804,-63.4960874,-61.147736,-62.1651432,-63.7090151,-62.5239871,-61.709012,-59.0283973,-61.373521,-61.6725909,-62.6576275,-60.9029516,-61.9855976,-63.366919,-61.5950431,-61.9609777,-65.5352351,-64.1204199,-61.7743426,-65.8949102,-61.0513562,-60.3626859,-61.6101727,-60.1968845,-63.9009302,-60.6752625,-60.0853366,-59.0385069,-62.7181773,-61.8386641,-62.7731834,-64.9260043,-60.7738923,-59.4465149,-62.5902724,-62.5409869,-61.3208497,-60.4392502,-61.5183633,-60.873261,-61.1155512,-62.7656577,-60.8304612,-64.2998801,-61.047272,-60.8694135,-61.9952652,-62.2957389,-64.1215714,-64.4530527,-61.92418,-60.7517891,-59.5046898,-62.856474,-59.3987479,-61.4101394,-59.5485849,-60.3938888,-62.310298,-57.8728403,-61.4700238,-57.1209523,-57.118825,-60.3235568,-59.9245166,-62.1527889,-58.1956389,-60.8858845,-59.1187554,-62.4725728,-58.2605673,-59.1023274,-59.2306974,-61.4438702,-58.0106289,-60.2446695,-58.8923373,-58.3593659,-59.5713692,-60.481759,-61.9154779,-58.8541574,-62.1714914,-60.6036374,-58.0799025,-59.2171135,-58.8829082,-59.0229141,-58.6636816,-59.1598089,-56.9682575,-59.8969275,-60.7290451,-59.6551458,-60.1349162,-58.2517418,-59.8105805,-59.7348324,-60.8577385,-58.3545817,-57.3760045,-59.2039461,-59.4383172,-55.9365933,-55.4492748,-59.1629884,-56.259262,-57.5667071,-59.3538952,-57.4969205,-56.2019446,-55.7793493,-58.5771167,-59.8276105,-59.0056092,-57.010832,-61.055152,-57.096948,-62.6535001,-61.8506347,-62.7003077,-63.6013823,-61.3602284,-62.3900627,-65.5605464,-61.2383281,-63.9772011,-63.1515725,-60.9888022,-64.9324665,-64.8301952,-62.1562348,-59.7613883,-63.8919977,-63.1060501,-61.6370586,-61.6002047,-58.3583229,-62.0707328,-60.0398794,-59.6580494,-61.1106847,-62.7058278,-61.6738535,-63.7624873,-61.4975409,-58.0909572,-60.7106128,-59.3595062,-61.3992489,-61.4345175,-59.9910941,-60.7028157,-60.7970095,-58.1932295,-58.002315,-62.1020626,-60.7734645,-59.8889269,-57.4596406,-59.4610306,-58.6516471,-56.6630581,-62.6206135,-61.894354,-62.1353922,-59.5360835,-59.971505,-62.3774588,-59.8020418,-59.3869127,-57.0456858,-58.7693384,-58.7616406,-60.6932091,-59.1359173,-60.6236971,-59.6813032,-57.7430884,-56.634841,-59.1535329,-59.6890801,-58.8651348,-61.9738076,-58.5920134,-58.6143821,-59.442529,-58.1131783,-57.7213571,-59.7620655,-57.1771772,-58.9235029,-60.181539,-58.0222195,-57.9473144,-59.7361575,-59.846799,-59.7072181,-60.2757883,-59.1885611,-60.1196395,-63.4795063,-58.6607918,-61.2091184,-60.8021699,-62.3694514,-59.9426258,-58.018556,-57.6190521,-56.0236683,-59.1152271,-59.2916126,-60.0845828,-57.712547,-54.6567082,-59.1216924,-59.355106,-57.8164297,-57.6445118,-56.4493438,-56.4537172,-57.7321268,-56.7577068,-54.4258373,-55.8812685,-56.3071402,-55.1039262,-58.0219807,-54.6231971,-55.1098441,-57.048193,-54.2767789,-55.2600613,-57.0793951,-59.9720122,-56.6175578,-57.5178502,-59.0045363,-57.9601322,-61.2965595,-61.3537199,-60.6643825,-60.7475168,-62.2940116,-60.0420286,-57.5388065,-61.5433066,-57.6446193,-58.8130146,-59.9453017,-57.6539165,-57.1763716,-55.8992136,-57.9527812,-57.4655039,-56.5472672,-57.8633381,-57.8802035,-57.9856795,-58.2225541,-59.353095,-55.5652725,-60.6299385,-57.6510517,-57.1248535,-56.866704,-57.7554015,-62.247864,-56.0143614,-56.8409221,-56.8335475,-56.7938343,-55.5489801,-56.272783,-57.3941105,-55.3122004,-56.3036595,-57.0875287,-58.4928314,-52.3996777,-58.733276,-55.4898084,-57.7826223,-57.5727352,-54.4740171,-53.7509276,-56.0221365,-55.6161086,-51.6042015,-50.1031273,-50.6333886,-52.8659713,-51.8219481,-50.9890918,-52.7193212,-52.2238426,-52.3552906,-52.2078982,-53.1443468,-51.0727187,-54.079245,-53.4290169,-53.7784479,-51.8960782,-53.2923037,-53.1529427,-51.3113663,-55.670072,-48.0857901,-52.8742288,-50.5778541,-51.4127532,-52.4969008,-52.4677314,-50.4909114,-50.5331647,-51.565162,-51.6940309,-51.9814075,-52.9177159,-48.8077586,-50.4994605,-49.2337095,-49.8093608,-49.0462381,-48.5591982,-50.029963,-51.3652049,-47.9629465,-48.73827,-46.0833958,-48.1171529,-52.4260033,-48.4782369,-45.2980737,-50.8244817,-51.8873414,-48.7821214,-50.1370331,-49.5940726,-48.4187387,-48.7491018,-49.7632205,-47.6097255,-47.6243613,-50.5357089,-49.2681143,-47.9264106,-49.2130148
