Create Date,20241009_121847
Start Freq,1220000000.0
Stop Freq,1520000000.0
# Points,401
# Samples,50
Interval,0.2
Time,1728472727.2690496
0.0,-65.0924674,-63.4621751,-64.0703582,-67.0197787,-62.3315825,-73.1126583,-69.3520973,-64.7918434,-66.6387155,-69.4333269,-72.1308352,-66.611041,-67.8129031,-69.6038035,-67.9272398,-61.4428272,-65.6849964,-69.1076438,-64.3712726,-74.1052429,-65.8003932,-66.7087968,-62.7068342,-63.4072009,-70.7336059,-70.1354791,-62.6234357,-64.170779,-64.8638712,-72.4807598,-67.5353698,-68.9254794,-66.2186325,-66.5066392,-73.5991961,-65.8881735,-68.0453489,-68.7463209,-66.2041991,-72.3894137,-65.5526784,-70.1879678,-68.5754343,-66.0589445,-66.5452396,-66.4299446,-68.4176282,-64.7166848,-64.1935042,-62.6050063,-63.9172362,-64.3748663,-67.878446,-67.0223258,-63.2630173,-68.9853596,-63.2006852,-62.085624,-70.820296,-69.1358455,-68.405159,-72.3923599,-62.8283089,-71.7089087,-65.5719662,-69.1207823,-66.9000888,-63.8530825,-66.0978617,-66.110077,-62.2872752,-66.9332235,-63.6534137,-66.4207318,-66.1276545,-69.1904907,-70.7724436,-66.9742667,-64.1165154,-69.3985493,-68.2994523,-65.8086328,-63.8696138,-66.3743182,-64.6484024,-66.7405829,-73.1913154,-71.9095342,-67.4115539,-66.503484,-66.7588977,-65.3584095,-64.03396,-65.113169,-66.1465572,-77.5736533,-65.2101008,-68.5270698,-72.6650374,-62.0670493,-66.1151384
